,pk_obligor_id,retail_customer_id,business_customer_id,pk_snapshot_date,record_creation_date,insert_job_id
42,9824,9824,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
43,9826,9826,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
44,9827,9827,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
45,9828,9828,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
46,9830,9830,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
47,9832,9832,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
48,9835,9835,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
49,9839,9839,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
50,9840,9840,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
51,9841,9841,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
52,9847,9847,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
53,9850,9850,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
54,9864,9864,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
55,9867,9867,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
56,9869,9869,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
57,9880,9880,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
58,9894,9894,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
59,9897,9897,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
60,9899,9899,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
61,9925,9925,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
62,9934,9934,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
63,9940,9940,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
64,9942,9942,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
65,9943,9943,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
