,pk_credit_account_id,ifrs9_stage_on_granting_date_final,ifrs9_stage_final,ifrs9_assessment_type,credit_account_costs,credit_account_income,ifrs9_portfolio,poci_flag,expected_cashflow,ifrs9_bucket,pd_value,lgd_value,ccf_value,ead_value,pd_bucket,lgd_bucket,ccf_bucket,pd_vector_entry_id,prepayments_vector_entry_id,lgd_vector_entry_id,ccf_vector_entry_id,collateral_allocated,ecl_balance,ecl_offbalance,begaap_classification,begaap_provision_balance,begaap_provision_offbalance,asset_type,ppa,original_loan_amount,pk_snapshot_date,record_creation_date,insert_job_id,write_off_sum,ecl_balance_eur,ecl_offbalance_eur,begaap_provision_balance_eur,begaap_provision_offbalance_eur,begapp_assessment_type,ead_value_eur
26,AA19335GV3ZL,1,1,Collective,0,0,19,N,10917.34,19,0.0181,0.3197,0.5,1658.8,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,9.598762316,0,P_PAST_DUE,0,0,credit,,11000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
27,AA193357M4XG,1,1,Collective,0,0,19,N,31198.64,19,0.0181,0.3197,0.5,5921.58,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,34.265637181,0,P_PAST_DUE,0,0,credit,,10000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
28,AA19335SRY17,1,1,Collective,0,0,19,N,62669.49,19,0.0181,0.3197,0.5,14797.47,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,85.626595978,0,P_PAST_DUE,0,0,credit,,20000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
29,AA193355CJD1,1,1,Collective,0,0,19,N,1300.1,19,0.0181,0.3197,0.5,259.57,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,1.502019975,0,P_PAST_DUE,0,0,credit,,2000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
30,AA19335Y1DSZ,1,1,Collective,0,0,19,N,24370.11,19,0.0181,0.3197,0.5,8459.2,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,48.949752944,0,P_PAST_DUE,0,0,credit,,13190,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
31,AA19335R0P3C,1,1,Collective,0,0,19,N,20140.65,19,0.0181,0.3197,0.5,7902.31,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,45.727269977,0,P_PAST_DUE,0,0,credit,,10000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
32,AA193357VZYV,1,1,Collective,0,0,19,N,79260.39,19,0.0181,0.3197,0.5,16768.49,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,97.032041179,0,P_PAST_DUE,0,0,credit,,25000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
33,AA193350M1DX,1,1,Collective,0,0,19,N,45162.75,19,0.0181,0.3197,0.5,25018.35,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,144.77043356,0,P_PAST_DUE,0,0,credit,,40000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
34,AA19335NTN4T,1,1,Collective,0,0,19,N,20728.87,19,0.0181,0.3197,0.5,3290.72,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,19.04198163,0,P_PAST_DUE,0,0,credit,,12000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
35,AA1933572QLB,1,1,Collective,0,0,19,N,52580.7,19,0.0181,0.3197,0.5,7767.21,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,44.94550437,0,P_PAST_DUE,0,0,credit,,29000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
36,AA19335Z4T0S,1,2,Collective,0,0,19,N,46094.8,19,0.0181,0.3197,0.5,23098.59,19#1#DPD31_60,19#1#DPD31_60,19,61,NA,101,587,0,133.661607936,0,P_PAST_DUE,0,0,credit,,33000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
37,AA193353XDJR,1,2,Collective,0,0,19,N,48292.25,19,0.0181,0.3197,0.5,22202.89,19#1#DPD31_60,19#1#DPD31_60,19,61,NA,101,587,0,128.478577187,0,P_PAST_DUE,0,0,credit,,27000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
38,AA19335JNXFG,1,1,Collective,0,0,19,N,27925.38,19,0.0181,0.3197,0.5,15629.85,19#1#DPD61_90,19#1#DPD61_90,19,62,NA,102,587,0,90.443221115,0,P_PAST_DUE,0,0,credit,,25000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
39,AA19335XX44R,1,2,Collective,0,0,19,N,95892.33,19,0.0181,0.3197,0.5,16973.83,19#1#DPD61_90,19#1#DPD61_90,19,62,NA,102,587,0,98.220255463,0,P_PAST_DUE,0,0,credit,,50000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
40,AA19332KSW07,1,1,Collective,0,0,20,N,,20,0.0102,0.4869,0.5,4082.53,20#1#DPD0,20#1#DPD0,20,64,NA,160,588,0,15.651298251,4.62409709,P_PAST_DUE,0,0,credit,,5000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
