,pk_credit_account_id,previous_credit_account_id,first_credit_account_id,obligor_id,credit_agreement_number,previous_credit_agreement_number,product_id,related_entity_group_id,origin_country_id,origin_branch_id,currency_id,obligor_segment,opening_date,closing_date,interest_rate,interest_type,interest_base,interest_convention,margin,dof_dpd,dof_dpd_above_threshold,dpd,dpd_above_threshold,credit_score_on_granting_date,credit_rating_on_granting_date,credit_score,credit_rating,obligor_rating,accountancy_type,ltv,ltv_bucket,pd_on_granting_date,pd,scoring_model_version,actual_debt,gbv,principal_due,principal_undue,interest_accrued_due,interest_accrued_undue,restricted_interest,eir,eir_adjustment,income_cost_in_time,obv_conditional,obv_unconditional,monthly_repayment_of_principal,monthly_withdrawal_of_principal,monthly_repayment_of_interest,monthly_writeoffs,is_agreement_terminated,npv_original,npv_actual,forbearance_flag,npl_flag,default_flag,asset_type,ppa,original_loan_amount,ifrs9_stage,credit_repayment_schedule_id,sales,is_ind_significant,pk_snapshot_date,record_creation_date,insert_job_id,fair_value,ifrs9_maturity,ifrs9_stage_final,gbv_eur,obv_conditional_eur,obv_unconditional_eur,begaap_classification
2293,AA19335FK729,,0,11545,AA19335FK729,,45,,1,1,44,1,2010-01-15 00:00:00+00:00,2030-01-31,1.16546278,FIXED,A4,1,1.16546278,,,0,,,,205,10C,0,,0,0,,0,4.3,89101.08,89101.08,0,89098.21,0,2.87,0,1.16546278,0,89.62,,0,693.83,0,86.75,,False,98752.5,98752.5,N,N,N,credit,,162000,1,AA19335FK729_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2294,AA19335FV3C1,,0,18610,AA19335FV3C1,,45,,1,1,44,1,2019-10-09 00:00:00+00:00,2024-11-30,1.66,FIXED,A4,1,1.66,,,0,,,,190,10C,0,,0,0,,0,4.3,49202.2,49202.2,0,49199.95,0,2.25,0,1.66,0,70.89999999999999,,0,800.05,0,68.65,,False,86964.91,86964.91,N,N,N,credit,,50000,1,AA19335FV3C1_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2295,AA19335T4X9S,,0,9793,AA19335T4X9S,,45,,1,1,44,1,2009-08-31 00:00:00+00:00,2024-08-31,1.01539277,FIXED,A4,1,1.01539277,,,0,,,,205,10C,0,,0,0,,0,4.3,33982.25,33982.25,0,33981.3,0,0.95,0,1.01539277,0,30.069999999999993,,0,592.37,0,29.12,,False,83500.58,83500.58,N,N,N,credit,,100000,1,AA19335T4X9S_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2296,AA193353QJH7,,0,11833,AA193353QJH7,,45,,1,1,44,1,2005-12-28 00:00:00+00:00,2025-12-31,0.7,FIXED,A4,1,0.7,,,0,,,,205,10C,0,,0,0,,0,4.3,89968.08,89968.08,0,89966.34,0,1.74,0,0.7,0,54.770000000000024,,0,1223.21,0,53.03,,False,223984.3,223984.3,N,N,N,credit,,270000,1,AA193353QJH7_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2297,AA193357JDLC,,0,9397,AA193357JDLC,,45,,1,1,44,1,2005-03-15 00:00:00+00:00,2020-03-31,0.34655281,FIXED,A4,1,0.34655281,,,0,,,,205,10C,0,,0,0,,0,4.3,3051.11,3051.11,0,3051.08,0,0.03,0,0.34655281,0,1.2000000000000002,,0,1016.99,0,1.17,,False,31378.66,31378.66,N,N,N,credit,,160000,1,AA193357JDLC_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2298,AA19335JZ0W0,,0,17716,AA19335JZ0W0,,45,,1,1,44,1,2009-09-28 00:00:00+00:00,2029-09-30,0.71792365,FIXED,A4,1,0.71792365,,,0,,,,205,10C,0,,0,0,,0,4.3,147206.55,147206.55,0,147203.62,0,2.93,0,0.71792365,0,91.43000000000005,,0,1214.43,0,88.5,,False,232100.7,232100.7,N,N,N,credit,,280000,1,AA19335JZ0W0_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2299,AA1933565WX4,,0,9529,AA1933565WX4,,45,,1,1,44,1,2012-08-27 00:00:00+00:00,2024-08-31,0.74539277,FIXED,A4,1,0.74539277,,,0,,,,205,10C,0,,0,0,,0,4.3,51534.93,51534.93,0,51533.87,0,1.06,0,0.74539277,0,33.51999999999999,,0,904.12,0,32.46,,False,151809.86,151809.86,N,N,N,credit,,127000,1,AA1933565WX4_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2300,AA19335R2S2L,,0,9394,AA19335R2S2L,,45,,1,1,44,1,2011-10-01 00:00:00+00:00,2025-12-31,0.7,FIXED,A4,1,0.7,,,0,,,,305,10B,0,,0,0,,0,4.3,51451.75,51451.75,0,51450.75,0,1,0,0.7,0,31.32000000000001,,0,699.55,0,30.32,,False,128094.53,128094.53,N,N,N,credit,,117307,1,AA19335R2S2L_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2301,AA19335SDT8D,,0,19287,AA19335SDT8D,,45,,1,1,44,1,2012-10-26 00:00:00+00:00,2037-10-31,2.01312286,FIXED,A4,1,2.01312286,,,0,,,,205,10C,0,,0,0,,0,4.3,161891,161891,0,161882.04,0,8.96,0,2.01312286,0,279.10999999999996,,0,629.44,0,270.15,,False,80863.34,80863.34,N,N,N,credit,,210000,1,AA19335SDT8D_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2302,AA193354F4FS,,0,10245,AA193354F4FS,,45,,1,1,44,1,2008-05-26 00:00:00+00:00,2025-04-30,0,FIXED,A4,1,0,,,0,,,,190,10C,0,,0,0,,0,4.3,31520.95,31520.95,0,31520.95,0,0,0,0,0,0.0,,0,492.52,0,0,,False,256107.76,256107.76,N,N,N,credit,,96000,1,AA193354F4FS_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
